nombre_persona,cedula,edad,genero,numero_celular,gmail,vendedor,fecha_venta,valor_vehiculo,iva,valor_total
Ana Martínez,36929328,67,M,3039277973,ana.martínez@gmail.com,AutoCenter,2021-01-18,174278373.1,33112890,207391263.1
Juan Martínez,77048705,36,M,3246855797,juan.martínez@gmail.com,SuperAutos,2021-04-20,162323815.94,30841525,193165340.94
Carlos Martínez,31183295,25,M,3197127636,carlos.martínez@gmail.com,AutoCenter,2022-10-28,169422318.87,32190240,201612558.87
Pedro Gómez,23367915,80,F,3368209049,pedro.gómez@gmail.com,SuperAutos,2024-05-25,189461648.51,35997713,225459361.51
Carlos Rodríguez,69998761,36,M,3267625936,carlos.rodríguez@gmail.com,Vehimotors,2021-07-18,94398239.22,17935665,112333904.22
Ana Torres,69470988,20,M,3615337306,ana.torres@gmail.com,AutoCenter,2020-06-13,43967815.26,8353884,52321699.26
Camila García,96542586,79,M,3498355907,camila.garcía@gmail.com,MotorCity,2024-02-28,71617178.87,13607263,85224441.87
Juan Moreno,32976226,73,M,3953431277,juan.moreno@gmail.com,Vehimotors,2022-12-04,79472471.18,15099769,94572240.18
Luis García,49889682,66,M,3160076839,luis.garcía@gmail.com,CarrosYA,2024-10-19,113798759.01,21621764,135420523.01
Sofía Torres,33369459,33,F,3763568347,sofía.torres@gmail.com,SuperAutos,2020-07-10,61843724.39,11750307,73594031.39
Juan Pérez,82990284,43,M,3123312174,juan.pérez@gmail.com,Vehimotors,2024-04-12,121888632.39,23158840,145047472.39
Pedro Moreno,78089165,24,F,3474411274,pedro.moreno@gmail.com,MotorCity,2022-09-26,184942616.24,35139097,220081713.24
Sofía Pérez,2891711,22,M,3437247616,sofía.pérez@gmail.com,Vehimotors,2024-05-29,151379559.56,28762116,180141675.56
Pedro Moreno,96102397,56,M,3888420748,pedro.moreno@gmail.com,MotorCity,2022-07-09,49277876.96,9362796,58640672.96
